hola hello
adios goodbye
casa house
perro dog
gato cat
manzana apple
naranja orange
platano banana
coche car
autobus bus
tren train
avion plane
bicicleta bicycle
libro book
cuaderno notebook
lapiz pencil
boligrafo pen
computadora computer
telefono phone
television television
pantalla screen
cama bed
mesa table
silla chair
ventana window
puerta door
jardin garden
arbol tree
flores flowers
playa beach
rio river
montana mountain
ciudad city
pais country
nube cloud
sol sun
luna moon
estrella star
numero number
letra letter
palabra word
frase sentence
verde green
azul blue
rojo red
amarillo yellow
blanco white
negro black
gris gray
feliz happy
triste sad
enfadado angry
sorprendido surprised
cansado tired
hambriento hungry
sediento thirsty
caliente hot
frio cold
grande big
pequeno small
alto tall
bajo short
largo long
oso bear
rapido fast
lento slow
nuevo new
viejo old
limpio clean
sucio dirty
rico rich
pobre poor
bueno good
malo bad
pantalon pants
camisa shirt
uno one
tierra earth
tesoro treasure
edificio building
diez ten
cien hundred
verde green
motor motor
toalla towel
zapato shoe
hoja sheet
planta plant
techo ceiling
bello beautiful
bar bar
nuez nut
mochila backpack
tenedor fork
hora hour
minuto minute
segundo second
mes month
semana week
control control
